Card Type,Card ID,Text
Black,B001,The next Bollywood blockbuster is called “______: The ______.”
Black,B002,The Indian remake of a superhero movie replaces the superpower with ______.
Black,B003,A government press release contains the phrase “because of ______.”
Black,B004,The only story that can interrupt a prime-time debate: ______.
Black,B005,The one sentence guaranteed to start a prime-time war: “______.”
Black,B006,A reporter is sent to cover ______ and returns with ______.
Black,B007,The real purpose of a cricket press conference is ______.
Black,B008,A journalist asks a politician about ______; the politician responds with ______.
Black,B009,India's newest cricket rule: ______.
Black,B010,A new law accidentally legalises ______.
Black,B011,The new corporate wellness programme consists entirely of ______.
Black,B012,India's newest Olympic event: ______.
Black,B013,The ancient inscription translated to: “Beware of ______.”
Black,B014,A fact-checking organisation is called in to investigate ______.
Black,B015,A newsroom discovers that its teleprompter has been replaced with ______.
Black,B016,A famous journalist is handed a microphone and immediately asks about ______.
Black,B017,A Bollywood director yells “CUT!” after seeing ______.
Black,B018,The only story that can interrupt a comedian: ______.
Black,B019,The Indian version of the apocalypse begins with ______.
Black,B020,A family group chat declares independence from ______.
Black,B021,"The journalist says, “Sources tell us,” and the source is ______."
Black,B022,The celebrity feud nobody could have predicted: ______ versus ______.
Black,B023,A new national holiday celebrates ______.
Black,B024,The national anthem is almost replaced by ______.
Black,B025,The press conference was cancelled because of ______.
Black,B026,A politician announces a revolutionary new policy: ______.
Black,B027,The documentary nobody asked for: ______.
Black,B028,A press conference is interrupted by ______.
Black,B029,A news channel launches a new vertical dedicated entirely to ______.
Black,B030,The cricket team's secret emergency protocol: ______.
Black,B031,The new IIT course is called Advanced ______.
Black,B032,A time traveller arrives in 2026 carrying ______.
Black,B033,The political alliance's only shared hobby is ______.
Black,B034,A billionaire buys ______ and immediately regrets it.
Black,B035,The newsroom's new performance metric is ______.
Black,B036,"The historical emperor's final decree: “Henceforth, all citizens shall ______.”"
Black,B037,A family dispute is settled by ______.
Black,B038,The only story that can interrupt the internet: ______.
Black,B039,The cricket dressing room's forbidden ritual: ______.
Black,B040,India's newest unnecessary controversy: ______.
Black,B041,A cricketer is asked to comment on ______ and says ______.
Black,B042,A historical villain starts a podcast about ______.
Black,B043,The journalist's fact-checking process ends with ______.
Black,B044,The ultimate Indian disaster: ______.
Black,B045,The new national emergency hotline is for people experiencing ______.
Black,B046,The real purpose of a corporate offsite is ______.
Black,B047,The election exit poll nobody understands predicts ______.
Black,B048,A celebrity PR statement blaming ______.
